nome,dePara,status_material,indexTratamento,tratamento_semente
9504VIP3,9504VIP3,STINE,,padrao
9505VTPRO4,9505VTPRO4,STINE,,padrao
9705VIP3,9705VIP3,STINE,,padrao
9801VIP3,9801VIP3,STINE,,padrao
9808VTPRO4,9808VTPRO4,STINE,,padrao
AS1820PRO4,AS1820PRO4,CHECK,,padrao
CS 9801 VIP3,CS9801 VIP3,CHECK,,padrao
DKB360PRO3,DKB360PRO3,CHECK,,padrao
EXO0052VIP3,EXO0052VIP3,EXP,,padrao
EXP0012VIP3,EXP0012VIP3,EXP,,padrao
EXP0051VIP3,EXP0051VIP3,EXP,,padrao
EXP0067VIP3,EXP0067VIP3,EXP,,padrao
EXP0090VIP3,EXP0090VIP3,EXP,,padrao
EXP0198VIP3,EXP0198VIP3,EXP,,padrao
EXP5021VIP3,EXP5021VIP3,EXP,,padrao
K7510VIP3,K7510VIP3,EXP,,padrao
K9606VIP3,K9606VIP3,EXP,,padrao
LG36750PRO4,LG36750PRO4,CHECK,,padrao
LG36790PRO3,LG36790PRO3,CHECK,,padrao
MG447PWU,MG447PWU,CHECK,,padrao
NK501VIP3,NK501VIP3,CHECK,,padrao
P3845VYHR,P3845VYHR,CHECK,,padrao
